,ch_name,entropy,kurt
0,A2-Ref+imf11,1.980765577,-1.366962596
1,A2-Ref+imf10,1.674076273,-1.210830893
2,A2-Ref+imf9,2.097923054,-1.159994835
3,A2-Ref+imf8,1.602215946,1.848668503
4,A2-Ref+imf7,1.845960483,4.012049459
5,A2-Ref+imf6,2.004341405,0.361027215
6,A2-Ref+imf5,1.665159588,4.130022744
7,A2-Ref+imf4,1.480289318,6.037222273
8,A2-Ref+imf3,1.020217334,17.23971309
9,A2-Ref+imf2,0.534220393,69.64830007
10,A2-Ref+imf1,0.165207079,268.3162795
11,A1-Ref+imf10,1.049678325,-0.383294313
12,A1-Ref+imf9,2.117581949,-1.289439659
13,A1-Ref+imf8,2.133339055,-0.603053046
14,A1-Ref+imf7,1.967093755,1.059294967
15,A1-Ref+imf6,2.029709342,0.090000061
16,A1-Ref+imf5,1.828869714,1.408136617
17,A1-Ref+imf4,1.529617315,4.171256655
18,A1-Ref+imf3,0.910059802,18.24221569
19,A1-Ref+imf2,0.430349319,91.95685143
20,A1-Ref+imf1,0.206876547,221.6486721
21,Fz-Ref+imf10,1.092527757,0.213346729
22,Fz-Ref+imf9,2.142257162,-1.227858785
23,Fz-Ref+imf8,1.931973941,0.503465863
24,Fz-Ref+imf7,2.194385361,-0.761546677
25,Fz-Ref+imf6,2.07161425,0.630367425
26,Fz-Ref+imf5,1.883188363,1.293814296
27,Fz-Ref+imf4,1.479759578,5.19019006
28,Fz-Ref+imf3,0.748138413,30.95563129
29,Fz-Ref+imf2,0.436265526,60.32480309
30,Fz-Ref+imf1,0.265647771,68.5088523
31,T6-Ref+imf11,1.592380238,-0.517180804
32,T6-Ref+imf10,1.852739977,-0.119213466
33,T6-Ref+imf9,2.157699418,-0.662692981
34,T6-Ref+imf8,2.01835206,0.103503502
35,T6-Ref+imf7,1.863565112,3.58969028
36,T6-Ref+imf6,2.036592971,1.068692769
37,T6-Ref+imf5,1.847076252,1.687169503
38,T6-Ref+imf4,1.610230455,2.33040993
39,T6-Ref+imf3,1.045512023,14.35523577
40,T6-Ref+imf2,0.645477618,25.93132673
41,T6-Ref+imf1,0.108964726,208.8540305
42,T5-Ref+imf10,1.838077756,-1.512246609
43,T5-Ref+imf9,1.819950607,0.642335859
44,T5-Ref+imf8,2.188401494,-0.480953514
45,T5-Ref+imf7,2.178717602,-0.433063705
46,T5-Ref+imf6,2.056215288,-0.038767174
47,T5-Ref+imf5,1.758404177,2.523343177
48,T5-Ref+imf4,1.605816164,2.053017867
49,T5-Ref+imf3,0.870222029,22.30315948
50,T5-Ref+imf2,0.518949181,68.25571799
51,T5-Ref+imf1,0.196602047,78.89064534
52,T4-Ref+imf9,1.728281093,-1.488729686
53,T4-Ref+imf8,2.140009902,-1.266093436
54,T4-Ref+imf7,2.174181045,-0.565749461
55,T4-Ref+imf6,2.013893052,0.253478104
56,T4-Ref+imf5,1.919109145,1.801449598
57,T4-Ref+imf4,1.598166652,3.700146004
58,T4-Ref+imf3,0.906382955,24.30651945
59,T4-Ref+imf2,0.506861995,37.90883304
60,T4-Ref+imf1,0.140407312,119.0761701
